Frequency (Hz)	Level (dB)
10120.605469	-43.172981
10163.671875	-43.743084
10206.738281	-44.605072
10249.804688	-44.109200
10292.871094	-42.835209
10335.937500	-43.992172
10379.003906	-43.808140
10422.070312	-43.805931
10465.136719	-43.655323
10508.203125	-42.772709
10551.269531	-41.336494
10594.335938	-42.677109
10637.402344	-43.219589
10680.468750	-44.572731
10723.535156	-44.433823
10766.601562	-44.389633
10809.667969	-44.115005
10852.734375	-44.541401
10895.800781	-44.182560
10938.867188	-43.948204
10981.933594	-44.306469
11025.000000	-44.049572
11068.066406	-43.775269
11111.132812	-43.333519
11154.199219	-44.534870
11197.265625	-44.884689
11240.332031	-45.036263
11283.398438	-45.583199
11326.464844	-45.056839
11369.531250	-44.654617
11412.597656	-44.994583
11455.664062	-44.757973
11498.730469	-43.878742
11541.796875	-44.048809
11584.863281	-44.092567
11627.929688	-44.913055
11670.996094	-44.509655
11714.062500	-44.247631
11757.128906	-45.123024
11800.195312	-45.624954
11843.261719	-45.671619
11886.328125	-45.535088
11929.394531	-44.776474
11972.460938	-43.332966
12015.527344	-41.954014
12058.593750	-41.650475
12101.660156	-43.337986
12144.726562	-45.527336
12187.792969	-46.009037
12230.859375	-45.672947
12273.925781	-43.800571
12316.992188	-42.438622
12360.058594	-42.718506
12403.125000	-43.255165
12446.191406	-43.814735
12489.257812	-44.278988
12532.324219	-44.345432
12575.390625	-44.140224
12618.457031	-44.315834
12661.523438	-44.965630
12704.589844	-44.882111
12747.656250	-44.429417
12790.722656	-42.999714
12833.789062	-42.261734
12876.855469	-42.564980
12919.921875	-44.196655
12962.988281	-45.049397
13006.054688	-43.597702
13049.121094	-42.605991
13092.187500	-42.334316
13135.253906	-43.428291
13178.320312	-44.470669
13221.386719	-45.240288
13264.453125	-45.295204
13307.519531	-44.347370
13350.585938	-43.006886
13393.652344	-42.913956
13436.718750	-44.353016
13479.785156	-44.795082
13522.851562	-44.928318
13565.917969	-44.800293
13608.984375	-45.262512
13652.050781	-46.215393
13695.117188	-45.147163
13738.183594	-44.224613
13781.250000	-44.375088
