Frequency (Hz)	Level (dB)
10120.605469	-43.487591
10163.671875	-45.207184
10206.738281	-44.198963
10249.804688	-44.528938
10292.871094	-45.006763
10335.937500	-44.691078
10379.003906	-45.065590
10422.070312	-45.680710
10465.136719	-45.414967
10508.203125	-45.687901
10551.269531	-45.977486
10594.335938	-45.485958
10637.402344	-45.603397
10680.468750	-45.804653
10723.535156	-44.966503
10766.601562	-43.829639
10809.667969	-44.063446
10852.734375	-45.423424
10895.800781	-46.317146
10938.867188	-46.162834
10981.933594	-45.154888
11025.000000	-44.157982
11068.066406	-44.007084
11111.132812	-44.644894
11154.199219	-45.450897
11197.265625	-46.464184
11240.332031	-46.261993
11283.398438	-45.449181
11326.464844	-45.740967
11369.531250	-45.942352
11412.597656	-44.466820
11455.664062	-44.545834
11498.730469	-45.505318
11541.796875	-45.247414
11584.863281	-45.709393
11627.929688	-46.366608
11670.996094	-45.087700
11714.062500	-45.285423
11757.128906	-46.036976
11800.195312	-45.416996
11843.261719	-45.238102
11886.328125	-44.855930
11929.394531	-44.634380
11972.460938	-45.381363
12015.527344	-45.187099
12058.593750	-44.451759
12101.660156	-44.674667
12144.726562	-44.859653
12187.792969	-44.362396
12230.859375	-45.243591
12273.925781	-45.659435
12316.992188	-45.331554
12360.058594	-45.679085
12403.125000	-45.803654
12446.191406	-44.988525
12489.257812	-45.341602
12532.324219	-45.526443
12575.390625	-45.068771
12618.457031	-45.570938
12661.523438	-46.040886
12704.589844	-45.890339
12747.656250	-45.087128
12790.722656	-44.354961
12833.789062	-44.057327
12876.855469	-45.195995
12919.921875	-46.117973
12962.988281	-46.688839
13006.054688	-46.127617
13049.121094	-45.008457
13092.187500	-44.822121
13135.253906	-45.389198
13178.320312	-45.980839
13221.386719	-46.212318
13264.453125	-46.493614
13307.519531	-45.826191
13350.585938	-45.407440
13393.652344	-45.214241
13436.718750	-45.479885
13479.785156	-46.606895
13522.851562	-46.710957
13565.917969	-46.052383
13608.984375	-45.215992
13652.050781	-44.830296
13695.117188	-44.777370
13738.183594	-46.512737
13781.250000	-46.112865
13824.316406	-45.252098
13867.382812	-45.578762
13910.449219	-45.264488
13953.515625	-44.730320
13996.582031	-46.268871
14039.648438	-46.646740
14082.714844	-45.410133
14125.781250	-45.742641
14168.847656	-46.081295
14211.914062	-45.584549
14254.980469	-46.531204
14298.046875	-46.640278
14341.113281	-45.447372
14384.179688	-45.914837
14427.246094	-46.577717
14470.312500	-46.017765
14513.378906	-46.160931
14556.445312	-46.076923
14599.511719	-44.903358
14642.578125	-45.463089
14685.644531	-46.875565
14728.710938	-46.573166
14771.777344	-46.571026
14814.843750	-46.659397
14857.910156	-46.104836
14900.976562	-46.081043
14944.042969	-46.594448
14987.109375	-46.269024
15030.175781	-46.795345
15073.242188	-46.801773
15116.308594	-46.785381
15159.375000	-46.575268
15202.441406	-45.813995
15245.507812	-44.674541
15288.574219	-45.907715
15331.640625	-47.488533
15374.707031	-46.321884
15417.773438	-45.651829
15460.839844	-46.712078
15503.906250	-46.087044
15546.972656	-45.498299
15590.039062	-46.768669
15633.105469	-46.983620
15676.171875	-45.575699
15719.238281	-46.519245
15762.304688	-47.787056
15805.371094	-46.701904
15848.437500	-45.847237
15891.503906	-47.624508
15934.570312	-47.569279
15977.636719	-46.630939
16020.703125	-47.052547
16063.769531	-48.311626
16106.835938	-47.558060
16149.902344	-47.508236
16192.968750	-47.714420
16236.035156	-47.424931
16279.101562	-47.487648
16322.167969	-48.431160
16365.234375	-48.693390
16408.300781	-48.028946
16451.367188	-47.457352
16494.433594	-48.001659
16537.500000	-48.542702
16580.566406	-47.921772
16623.632812	-47.789627
16666.699219	-48.797760
16709.765625	-48.825298
16752.832031	-48.346516
16795.898438	-48.313595
16838.964844	-48.363319
16882.031250	-48.458557
16925.097656	-49.270313
16968.164062	-49.482204
17011.230469	-48.852848
17054.296875	-48.798954
17097.363281	-49.002434
17140.429688	-48.731441
17183.496094	-48.616451
17226.562500	-49.265743
17269.628906	-49.623077
17312.695312	-49.666164
17355.761719	-49.777180
17398.828125	-49.359669
17441.894531	-49.666046
17484.960938	-50.281193
17528.027344	-50.023399
17571.093750	-49.752872
17614.160156	-50.057537
17657.226562	-50.219318
17700.292969	-50.841267
17743.359375	-51.224144
17786.425781	-50.882607
17829.492188	-51.272209
17872.558594	-51.447350
17915.625000	-50.889572
17958.691406	-51.253548
18001.757812	-52.277782
18044.824219	-52.674671
18087.890625	-53.111622
18130.957031	-52.715954
18174.023438	-51.621098
18217.089844	-51.640198
18260.156250	-52.845005
18303.222656	-53.153519
18346.289062	-52.654293
18389.355469	-52.770832
18432.421875	-52.952850
18475.488281	-52.592926
18518.554688	-53.175999
18561.621094	-53.704239
18604.687500	-53.821163
18647.753906	-53.983765
18690.820312	-54.522076
18733.886719	-54.193363
18776.953125	-53.875820
18820.019531	-53.395821
18863.085938	-53.851013
18906.152344	-55.357513
18949.218750	-55.199245
18992.285156	-54.714066
19035.351562	-55.048645
19078.417969	-53.100361
19121.484375	-52.502304
19164.550781	-54.319820
19207.617188	-56.367188
19250.683594	-55.051144
19293.750000	-55.027199
19336.816406	-54.716961
19379.882812	-54.538784
19422.949219	-54.468315
19466.015625	-55.244137
19509.082031	-56.878288
19552.148438	-57.875599
19595.214844	-58.045689
19638.281250	-57.454441
19681.347656	-56.582726
19724.414062	-56.624252
19767.480469	-57.240509
19810.546875	-58.158878
19853.613281	-58.051949
19896.679688	-57.513195
19939.746094	-57.683651
19982.812500	-58.360401
20025.878906	-57.122818
20068.945312	-57.300739
20112.011719	-59.569046
20155.078125	-60.637650
20198.144531	-60.072319
20241.210938	-59.150242
20284.277344	-58.940296
20327.343750	-59.638336
20370.410156	-59.739193
20413.476562	-60.457405
20456.542969	-61.319523
20499.609375	-61.296333
20542.675781	-62.011669
20585.742188	-61.715340
20628.808594	-59.912151
20671.875000	-60.427448
20714.941406	-61.993416
20758.007812	-62.263420
20801.074219	-62.888775
20844.140625	-63.497795
20887.207031	-63.575253
20930.273438	-60.756199
20973.339844	-58.721550
21016.406250	-59.604755
21059.472656	-62.344612
21102.539062	-61.724392
21145.605469	-59.328941
21188.671875	-57.739315
21231.738281	-57.967957
21274.804688	-60.411221
21317.871094	-63.916210
21360.937500	-63.491119
21404.003906	-61.676876
21447.070312	-62.008488
21490.136719	-64.099602
21533.203125	-65.476074
21576.269531	-63.515209
21619.335938	-64.274002
21662.402344	-65.793770
21705.468750	-65.820808
21748.535156	-64.391060
21791.601562	-63.655121
21834.667969	-65.281174
21877.734375	-62.991314
21920.800781	-61.266018
21963.867188	-62.846149
22006.933594	-67.016396
