Frequency (Hz)	Level (dB)
10120.605469	-45.840454
10163.671875	-45.914604
10206.738281	-45.225849
10249.804688	-45.390919
10292.871094	-45.989445
10335.937500	-46.125980
10379.003906	-46.620785
10422.070312	-45.566780
10465.136719	-44.901516
10508.203125	-45.390301
10551.269531	-45.887493
10594.335938	-46.550980
10637.402344	-47.071144
10680.468750	-45.993740
10723.535156	-45.717968
10766.601562	-45.813011
10809.667969	-45.489437
10852.734375	-46.093235
10895.800781	-46.679142
10938.867188	-46.987762
10981.933594	-46.960026
11025.000000	-46.648861
11068.066406	-46.237640
11111.132812	-46.358776
11154.199219	-46.587227
11197.265625	-46.634583
11240.332031	-46.607147
11283.398438	-46.266556
11326.464844	-46.677048
11369.531250	-47.144859
11412.597656	-47.361320
11455.664062	-46.824371
11498.730469	-46.131931
11541.796875	-46.492176
11584.863281	-46.973957
11627.929688	-47.302197
11670.996094	-47.265354
11714.062500	-47.185001
11757.128906	-47.296211
11800.195312	-47.494423
11843.261719	-47.524216
11886.328125	-47.094803
11929.394531	-47.371819
11972.460938	-47.421902
12015.527344	-47.615723
12058.593750	-47.584435
12101.660156	-47.065903
12144.726562	-47.492336
12187.792969	-47.546509
12230.859375	-47.260582
12273.925781	-47.635002
12316.992188	-47.164867
12360.058594	-47.129772
12403.125000	-47.507866
12446.191406	-47.182289
12489.257812	-47.493305
12532.324219	-47.388660
12575.390625	-47.033058
12618.457031	-47.407623
12661.523438	-47.640202
12704.589844	-47.561703
12747.656250	-47.382557
12790.722656	-46.812229
12833.789062	-47.043793
12876.855469	-47.576328
12919.921875	-47.587353
12962.988281	-47.580540
13006.054688	-46.994751
13049.121094	-47.061646
13092.187500	-47.371426
13135.253906	-47.395679
13178.320312	-47.872971
13221.386719	-47.515686
13264.453125	-47.302364
13307.519531	-47.326420
13350.585938	-47.111118
13393.652344	-47.724648
13436.718750	-48.101559
13479.785156	-47.518730
13522.851562	-47.539448
13565.917969	-47.699165
13608.984375	-47.683731
13652.050781	-48.349968
13695.117188	-47.726112
13738.183594	-47.308838
13781.250000	-47.974434
13824.316406	-48.222275
13867.382812	-48.682781
13910.449219	-48.322437
13953.515625	-47.669743
13996.582031	-47.651108
14039.648438	-48.069679
14082.714844	-48.314007
14125.781250	-48.013107
14168.847656	-47.566410
14211.914062	-47.860504
14254.980469	-47.924458
14298.046875	-47.887207
14341.113281	-48.501045
14384.179688	-47.846867
14427.246094	-47.904156
14470.312500	-48.355366
14513.378906	-48.315033
14556.445312	-48.889950
14599.511719	-48.425930
14642.578125	-48.354515
14685.644531	-48.875645
14728.710938	-48.646076
14771.777344	-48.979340
14814.843750	-48.575325
14857.910156	-48.345554
14900.976562	-48.614693
14944.042969	-48.279102
14987.109375	-48.634052
15030.175781	-48.741722
15073.242188	-48.047756
15116.308594	-48.501751
15159.375000	-48.821251
15202.441406	-48.524895
15245.507812	-49.048935
15288.574219	-48.857666
15331.640625	-49.232441
15374.707031	-49.234322
15417.773438	-48.725163
15460.839844	-49.139889
15503.906250	-49.102230
15546.972656	-49.490353
15590.039062	-49.818272
15633.105469	-49.335434
15676.171875	-49.259800
15719.238281	-49.358044
15762.304688	-49.167591
15805.371094	-49.218285
15848.437500	-49.252262
15891.503906	-49.096298
15934.570312	-49.632114
15977.636719	-50.126129
16020.703125	-49.770847
16063.769531	-49.539547
16106.835938	-49.309162
16149.902344	-49.005722
16192.968750	-49.754784
16236.035156	-50.317177
16279.101562	-50.049259
16322.167969	-50.159702
16365.234375	-49.493240
16408.300781	-49.878258
16451.367188	-50.454899
16494.433594	-50.332901
16537.500000	-50.399147
16580.566406	-50.113224
16623.632812	-50.589790
16666.699219	-50.896999
16709.765625	-50.767731
16752.832031	-50.489990
16795.898438	-50.570160
16838.964844	-50.892715
16882.031250	-51.212296
16925.097656	-51.225025
16968.164062	-51.141483
17011.230469	-51.173756
17054.296875	-50.911373
17097.363281	-51.178226
17140.429688	-51.162487
17183.496094	-51.464161
17226.562500	-52.083920
17269.628906	-52.064232
17312.695312	-52.056637
17355.761719	-51.939831
17398.828125	-51.735935
