Frequency (Hz)	Level (dB)
10120.605469	-42.180756
10163.671875	-43.087433
10206.738281	-42.622787
10249.804688	-41.633591
10292.871094	-42.444756
10335.937500	-41.871986
10379.003906	-44.844444
10422.070312	-41.787292
10465.136719	-41.202312
10508.203125	-41.076214
10551.269531	-43.174442
10594.335938	-44.139805
10637.402344	-44.803478
10680.468750	-43.466347
10723.535156	-42.891602
10766.601562	-42.070889
10809.667969	-42.967400
10852.734375	-44.839897
10895.800781	-43.679630
10938.867188	-40.989742
10981.933594	-42.260193
11025.000000	-43.953186
11068.066406	-42.161709
11111.132812	-43.851166
11154.199219	-45.285202
11197.265625	-44.557976
11240.332031	-43.829014
11283.398438	-43.784859
11326.464844	-42.866611
11369.531250	-43.546581
11412.597656	-43.748447
11455.664062	-42.915073
11498.730469	-43.246948
11541.796875	-44.261406
11584.863281	-43.227089
11627.929688	-43.104069
11670.996094	-44.184208
11714.062500	-45.265438
11757.128906	-44.629913
11800.195312	-43.870472
11843.261719	-44.261333
11886.328125	-43.208138
11929.394531	-43.922359
11972.460938	-43.594666
12015.527344	-42.175945
12058.593750	-42.890881
12101.660156	-42.459724
12144.726562	-43.292709
12187.792969	-44.341290
12230.859375	-42.933071
12273.925781	-42.111450
12316.992188	-41.498627
12360.058594	-43.169563
12403.125000	-43.536118
12446.191406	-43.823807
12489.257812	-44.482254
12532.324219	-44.547794
12575.390625	-42.806767
12618.457031	-44.088085
12661.523438	-43.040707
12704.589844	-44.736809
12747.656250	-43.578419
12790.722656	-43.402790
12833.789062	-43.408321
12876.855469	-43.705341
12919.921875	-44.488621
12962.988281	-43.784977
13006.054688	-40.792515
13049.121094	-41.986671
13092.187500	-43.069695
13135.253906	-44.792358
13178.320312	-43.217747
13221.386719	-43.640781
13264.453125	-45.333466
13307.519531	-45.245098
13350.585938	-44.817318
13393.652344	-44.731308
13436.718750	-45.728691
13479.785156	-45.845612
13522.851562	-45.236553
13565.917969	-44.241806
13608.984375	-42.203693
13652.050781	-42.985424
13695.117188	-44.573341
13738.183594	-44.967606
13781.250000	-44.108646
13824.316406	-44.324333
13867.382812	-44.716694
13910.449219	-44.645470
13953.515625	-44.773327
13996.582031	-45.959656
14039.648438	-45.211010
14082.714844	-44.169918
14125.781250	-44.419853
14168.847656	-45.808754
14211.914062	-45.086395
14254.980469	-45.492672
14298.046875	-45.634972
14341.113281	-45.594986
14384.179688	-43.885288
14427.246094	-45.041073
14470.312500	-46.235317
14513.378906	-45.505299
14556.445312	-44.985687
14599.511719	-45.748920
14642.578125	-46.239357
14685.644531	-45.407028
14728.710938	-45.235329
14771.777344	-46.393150
14814.843750	-45.690598
14857.910156	-44.228760
14900.976562	-44.803139
14944.042969	-45.324665
14987.109375	-45.675762
15030.175781	-45.251549
15073.242188	-45.127293
15116.308594	-46.229870
15159.375000	-46.432030
15202.441406	-46.571152
15245.507812	-46.121544
15288.574219	-45.656601
15331.640625	-46.064789
15374.707031	-45.615391
15417.773438	-46.364162
15460.839844	-45.177059
15503.906250	-45.891491
15546.972656	-46.304134
15590.039062	-45.022743
15633.105469	-46.257488
15676.171875	-46.795162
15719.238281	-46.113129
15762.304688	-45.835434
15805.371094	-46.935402
15848.437500	-47.479584
15891.503906	-47.872089
15934.570312	-47.265629
15977.636719	-46.610443
16020.703125	-46.081814
16063.769531	-47.128807
16106.835938	-47.188667
16149.902344	-46.722309
16192.968750	-46.862820
16236.035156	-47.214657
16279.101562	-47.511654
16322.167969	-47.968567
16365.234375	-45.815231
16408.300781	-45.669884
16451.367188	-46.960037
16494.433594	-46.795837
16537.500000	-47.874638
16580.566406	-48.519909
16623.632812	-48.551529
16666.699219	-47.995758
16709.765625	-47.487179
16752.832031	-46.776180
16795.898438	-48.309273
16838.964844	-48.255138
16882.031250	-47.319046
16925.097656	-48.609650
16968.164062	-48.267979
17011.230469	-48.808990
17054.296875	-48.825874
17097.363281	-48.830658
17140.429688	-48.741344
17183.496094	-48.380402
17226.562500	-48.396023
17269.628906	-47.857761
17312.695312	-49.076309
17355.761719	-48.825432
17398.828125	-49.042751
17441.894531	-48.873199
17484.960938	-48.623146
17528.027344	-49.110184
17571.093750	-49.515987
17614.160156	-49.406475
17657.226562	-49.268940
17700.292969	-50.385681
17743.359375	-50.321827
17786.425781	-49.628689
17829.492188	-50.592083
17872.558594	-50.161091
17915.625000	-50.796608
17958.691406	-49.601547
18001.757812	-48.928265
18044.824219	-49.544365
18087.890625	-49.864101
18130.957031	-51.871120
18174.023438	-50.549168
18217.089844	-50.950542
18260.156250	-51.372272
18303.222656	-51.673443
18346.289062	-50.539230
18389.355469	-49.358150
18432.421875	-51.131340
